.//FunctionDef/body//If,.//FunctionDef/body//If[ancestor::If and not(parent::orelse)],".//FunctionDef[@name=""__init__""]/body/Return",".//FunctionDef//Compare/left[@id=""input_dirs""]/following-sibling::Compare/ops/NotEq | .//FunctionDef//Compare/comparators[@id=""input_dirs""]/following-sibling::Compare/ops/NotEq",.//FunctionDef//Try/ExceptHandler[not(ExceptHandler/type)],.//FunctionDef//Compare/ops/Is | .//FunctionDef//Compare/ops/Eq,.//FunctionDef[not(args/arg/annotation) or not(returns)],".//FunctionDef//Call/func/Attribute[@attr=""keys""]",.//FunctionDef/body/Assign/value/Dict/keys/Name[preceding-sibling::Name/@id = @id],.//FunctionDef[./body/Assert/test/Tuple],.//FunctionDef/body/For[target/Name/@id = iter/Name/@id],.//FunctionDef[body//comprehension/target/Name],.//FunctionDef//FunctionDef/ancestor::*,.//FunctionDef//If/following-sibling::If | .//FunctionDef//If/following-sibling::Elif | .//FunctionDef//If/following-sibling::Else,.//FunctionDef//If/descendant::If,.//FunctionDef//if//For,.//FunctionDef[//(If/following-sibling::For | For/following-sibling::If)],.//FunctionDef//For[.//For],.//FunctionDef/body/Assert,".//FunctionDef[starts-with(@name, ""test_"")]/body/*",.//FunctionDef/body/* | .//FunctionDef/body/Return,".//FunctionDef[starts-with(@name, ""test_"")]//Assert[count(.//Call[func/Name/@id=""test_function""]) > 0]",".//FunctionDef//*[starts-with(., ""with open"")]",.//FunctionDef[count(body//Return) > 2],.//FunctionDef//BinOp[count(descendant::BinOp) > 2],"//FunctionDef[starts-with(@name, ""test_"")]//Assert[count(.//Call[func/Name]) > 0]",.//FunctionDef[count(.//If | .//For | .//While | .//And | .//Or) > 10],.//FunctionDef[count(./args/args) > 5],.//Call[count(./func/Attribute) > 3],.//FunctionDef[count(.//If | .//For | .//While | .//Try) > 3],.//FunctionDef[count(./body/*) > 100],.//ExceptHandler[not(./body/*)],.//Num,.//Global,.//ClassDef[count(./body/*) > 50],.//FunctionDef[count(./body/*) > 50],mutation_category,filename
1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,high,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,diagrams_output.json
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,medium,diagrams_output.json
0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,low,diagrams_output.json
